student_number,course_code,section_number,midterm_exam,final_exam,assignments,participation,project,comments
STU2024001,PSY101,01,85.5,88.0,90.0,95.0,87.5,Excellent étudiant très participatif
STU2024001,PSY102,01,78.0,82.5,85.0,90.0,80.0,Bon travail continue comme ça
STU2024001,GEN101,01,92.0,90.0,95.0,100.0,88.0,Très bon niveau
STU2024002,PSY101,01,75.0,78.5,80.0,85.0,76.5,Travail satisfaisant
STU2024002,PSY102,01,82.5,85.0,88.0,90.0,84.0,Très bon progrès
STU2024003,PSY101,02,88.0,90.5,92.0,95.0,89.0,Excellent niveau
STU2024003,PSY102,01,80.0,83.0,85.5,88.0,82.0,Bon travail
STU2024004,PSY101,01,70.0,72.5,75.0,80.0,71.0,Peut faire mieux
STU2024004,PSY102,01,68.5,70.0,73.0,78.0,69.0,Doit travailler davantage
STU2024009,COM101,01,90.0,92.5,95.0,98.0,91.0,Étudiant exceptionnel
STU2024009,COM102,01,87.0,89.5,91.0,95.0,88.0,Excellent travail
STU2024010,COM101,02,83.0,85.5,87.0,90.0,84.5,Très bon niveau
STU2024010,COM102,01,80.0,82.5,85.0,88.0,81.0,Bon progrès
STU2024015,SOC101,01,86.0,88.5,90.0,93.0,87.0,Très bon étudiant
STU2024015,SOC102,01,84.0,86.0,88.5,91.0,85.0,Excellent travail
STU2024016,SOC101,02,78.5,81.0,83.0,86.0,79.5,Bon niveau
STU2024017,SOC101,01,92.0,94.5,96.0,98.0,93.0,Étudiant brillant
STU2024021,SSO101,01,81.0,83.5,86.0,89.0,82.5,Bon travail
STU2024021,SSO102,01,79.0,81.5,84.0,87.0,80.0,Satisfaisant
STU2024022,SSO101,02,87.5,90.0,92.0,95.0,88.5,Excellent niveau